#1.Gene_Id	2.Gene_name	3.Chromosome_and_genomic_position	4.Strand	5.Event_type	6.Variable_part_length	7.Frameshift_?	8.CDS_?	9.Gene_biotype	10.number_of_known_splice_sites/number_of_SNPs	11.genomic_blocs_size_(upper_path)	12.genomic_position_of_each_splice_site_(upper_path)/of_each_SNP	13.paralogs_?	14.Complex_event_?	15.snp_in_variable_region	16.Event_name	17.genomic_blocs_size_(lower_path)	18.genomic_position_of_each_splice_site_(lower_path)	19.Psi_for_each_replicate	20.Read_coverage(upper_path)	21.Read_coverage(lower_path)	22.Canonical_sites?
ENSG00000100403.11	ZC3H7B	22:41330064-41338350	+	ES	57	True	True	protein_coding	all_splice_sites_known_(4_ss)	40,57,38	41330103,41332171,41332227,41338313	regular	0	False	bcc_120508|Cycle_0	40,38	41330103,41338313	psi1+2:0.95,psi3+4:0.95,psi5+6:0.96,psi7+8:0.95	AS1_213|SB1_126|S1_0|ASSB1_28|AS2_230|SB2_151|S2_0|ASSB2_17|AS3_80|SB3_98|S3_0|ASSB3_16|AS4_83|SB4_98|S4_0|ASSB4_18|AS5_64|SB5_82|S5_0|ASSB5_5|AS6_103|SB6_28|S6_0|ASSB6_5|AS7_88|SB7_86|S7_0|ASSB7_11|AS8_159|SB8_65|S8_0|ASSB8_18	AB1_11|AB2_11|AB3_2|AB4_8|AB5_5|AB6_1|AB7_5|AB8_8	-
ENSG00000273061.1	RP11-6J24.6	9:4676711-4679425	-	ES	160	False	False	lincRNA	3_ss_annotated_(over_4_ss):4676749,4679165,4679387	39,160,39	4676749,4679006,4679165,4679387	regular	0	False	bcc_52250|Cycle_0	39,39	4676749,4679387	psi1+2:NaN,psi3+4:NaN,psi5+6:0.42,psi7+8:0.32	AS1_0|SB1_0|S1_7|ASSB1_0|AS2_13|SB2_0|S2_5|ASSB2_0|AS3_0|SB3_4|S3_6|ASSB3_0|AS4_18|SB4_0|S4_2|ASSB4_0|AS5_4|SB5_0|S5_14|ASSB5_0|AS6_7|SB6_3|S6_6|ASSB6_0|AS7_0|SB7_1|S7_12|ASSB7_0|AS8_11|SB8_1|S8_4|ASSB8_0	AB1_1|AB2_2|AB3_0|AB4_0|AB5_0|AB6_17|AB7_1|AB8_21	-
ENSG00000150527.17	MIA2	14:39319251-39326900	+	ES	129	True	True	protein_coding	all_splice_sites_known_(4_ss)	41,129,37	39319291,39320928,39321056,39326864	regular	0	False	bcc_145770|Cycle_0	41,37	39319291,39326864	psi1+2:0.8,psi3+4:0.85,psi5+6:0.46,psi7+8:0.7	AS1_10|SB1_5|S1_19|ASSB1_0|AS2_21|SB2_16|S2_24|ASSB2_0|AS3_15|SB3_4|S3_17|ASSB3_0|AS4_23|SB4_39|S4_30|ASSB4_0|AS5_7|SB5_9|S5_6|ASSB5_0|AS6_21|SB6_13|S6_14|ASSB6_0|AS7_11|SB7_11|S7_4|ASSB7_0|AS8_38|SB8_18|S8_12|ASSB8_0	AB1_0|AB2_10|AB3_2|AB4_7|AB5_4|AB6_30|AB7_3|AB8_14	-
ENSG00000165119.20	HNRNPK	9:83973359-83974557	-	ES	72	True	True	protein_coding	all_splice_sites_known_(4_ss)	41,72,41	83973399,83973902,83973973,83974517	regular	0	False	bcc_94339|Cycle_0	41,41	83973399,83974517	psi1+2:0.92,psi3+4:0.93,psi5+6:0.92,psi7+8:0.94	AS1_1480|SB1_2761|S1_318|ASSB1_0|AS2_857|SB2_1820|S2_88|ASSB2_0|AS3_1532|SB3_2024|S3_303|ASSB3_0|AS4_1239|SB4_1235|S4_74|ASSB4_0|AS5_1031|SB5_1237|S5_213|ASSB5_0|AS6_1246|SB6_787|S6_101|ASSB6_0|AS7_1084|SB7_993|S7_248|ASSB7_0|AS8_925|SB8_767|S8_92|ASSB8_0	AB1_241|AB2_110|AB3_155|AB4_127|AB5_103|AB6_134|AB7_70|AB8_82	-
ENSG00000141568.20	FOXK2	17:82571831-82585941	+	ES	176	False	True	protein_coding	all_splice_sites_known_(4_ss)	40,176,38	82571870,82584013,82584188,82585904	regular	0	False	bcc_23955|Cycle_0	40,38	82571870,82585904	psi1+2:0.97,psi3+4:NaN,psi5+6:0.97,psi7+8:0.97	AS1_3|SB1_173|S1_279|ASSB1_0|AS2_24|SB2_61|S2_305|ASSB2_0|AS3_6|SB3_82|S3_229|ASSB3_0|AS4_15|SB4_61|S4_157|ASSB4_0|AS5_4|SB5_85|S5_115|ASSB5_0|AS6_2|SB6_118|S6_154|ASSB6_0|AS7_3|SB7_121|S7_181|ASSB7_0|AS8_4|SB8_232|S8_243|ASSB8_0	AB1_8|AB2_0|AB3_0|AB4_4|AB5_1|AB6_4|AB7_0|AB8_7	-
ENSG00000117620.14,ENSG00000283761.1	SLC35A3,RP4-714D9.5	1:99970123-99993577	+,+	ES	99	True	True	protein_coding,protein_coding	all_splice_sites_known_(4_ss)	40,99,41	99970162,99974971,99975069,99993537	regular	0	False	bcc_83285|Cycle_2	40,41	99970162,99993537	psi1+2:NaN,psi3+4:0.82,psi5+6:0.14,psi7+8:0.1	AS1_95|SB1_1|S1_0|ASSB1_0|AS2_3|SB2_6|S2_3|ASSB2_0|AS3_36|SB3_1|S3_3|ASSB3_0|AS4_0|SB4_4|S4_3|ASSB4_0|AS5_3|SB5_4|S5_16|ASSB5_0|AS6_7|SB6_1|S6_2|ASSB6_0|AS7_9|SB7_12|S7_10|ASSB7_0|AS8_3|SB8_2|S8_0|ASSB8_0	AB1_0|AB2_2|AB3_1|AB4_4|AB5_93|AB6_7|AB7_143|AB8_7	-
ENSG00000156299.13	TIAM1	21:31266944-31339283	-	ES	177	True	False	protein_coding	all_splice_sites_known_(4_ss)	40,177,41	31266983,31276732,31276908,31339243	regular	0	False	bcc_140481|Cycle_0	40,41	31266983,31339243	psi1+2:NaN,psi3+4:NaN,psi5+6:0.76,psi7+8:0.83	AS1_5|SB1_8|S1_3|ASSB1_0|AS2_8|SB2_3|S2_15|ASSB2_0|AS3_9|SB3_4|S3_6|ASSB3_0|AS4_5|SB4_3|S4_18|ASSB4_0|AS5_4|SB5_16|S5_25|ASSB5_0|AS6_18|SB6_27|S6_14|ASSB6_0|AS7_9|SB7_21|S7_34|ASSB7_0|AS8_19|SB8_13|S8_32|ASSB8_0	AB1_0|AB2_0|AB3_2|AB4_1|AB5_4|AB6_7|AB7_3|AB8_6	-
ENSG00000068383.18	INPP5A	10:132645928-132690432	+	ES	88	False	True	protein_coding	all_splice_sites_known_(4_ss)	41,88,41	132645968,132650418,132650505,132690392	regular	0	False	bcc_137415|Cycle_0	41,41	132645968,132690392	psi1+2:NaN,psi3+4:NaN,psi5+6:NaN,psi7+8:0.97	AS1_53|SB1_34|S1_80|ASSB1_0|AS2_66|SB2_35|S2_9|ASSB2_0|AS3_33|SB3_46|S3_59|ASSB3_0|AS4_48|SB4_37|S4_8|ASSB4_0|AS5_79|SB5_62|S5_73|ASSB5_0|AS6_43|SB6_54|S6_7|ASSB6_0|AS7_93|SB7_71|S7_84|ASSB7_0|AS8_46|SB8_46|S8_6|ASSB8_0	AB1_1|AB2_1|AB3_2|AB4_0|AB5_1|AB6_0|AB7_3|AB8_3	-
ENSG00000100889.11	PCK2	14:24099682-24102792	+	ES	219	True	True	protein_coding	all_splice_sites_known_(4_ss)	39,219,40	24099720,24099995,24100213,24102753	regular	0	False	bcc_52018|Cycle_0	39,40	24099720,24102753	psi1+2:0.96,psi3+4:0.89,psi5+6:0.93,psi7+8:0.96	AS1_91|SB1_164|S1_310|ASSB1_0|AS2_72|SB2_112|S2_181|ASSB2_0|AS3_61|SB3_94|S3_160|ASSB3_0|AS4_43|SB4_88|S4_83|ASSB4_0|AS5_100|SB5_70|S5_127|ASSB5_0|AS6_12|SB6_29|S6_129|ASSB6_0|AS7_113|SB7_72|S7_209|ASSB7_0|AS8_32|SB8_69|S8_200|ASSB8_0	AB1_6|AB2_5|AB3_11|AB4_8|AB5_8|AB6_3|AB7_2|AB8_7	-
ENSG00000213337.8	ANKRD39	2:96853565-96857928	-	ES	104	False	True	protein_coding	all_splice_sites_known_(4_ss)	40,104,41	96853604,96854338,96854441,96857888	regular	0	False	bcc_31689|Cycle_2	40,41	96853604,96857888	psi1+2:0.96,psi3+4:0.95,psi5+6:NaN,psi7+8:NaN	AS1_156|SB1_1|S1_12|ASSB1_0|AS2_102|SB2_91|S2_23|ASSB2_0|AS3_49|SB3_0|S3_3|ASSB3_0|AS4_71|SB4_66|S4_13|ASSB4_0|AS5_20|SB5_6|S5_53|ASSB5_0|AS6_41|SB6_31|S6_9|ASSB6_0|AS7_25|SB7_20|S7_55|ASSB7_0|AS8_77|SB8_29|S8_13|ASSB8_0	AB1_0|AB2_8|AB3_0|AB4_5|AB5_1|AB6_1|AB7_3|AB8_1	-
ENSG00000126756.11	UXT	X:47657250-47657822	-	ES	68	False	True	protein_coding	all_splice_sites_known_(4_ss)	41,68,41	47657290,47657572,47657639,47657782	regular	0	False	bcc_66610|Cycle_1	41,41	47657290,47657782	psi1+2:0.98,psi3+4:0.99,psi5+6:0.99,psi7+8:0.99	AS1_1929|SB1_2148|S1_90|ASSB1_0|AS2_511|SB2_468|S2_1|ASSB2_0|AS3_1611|SB3_374|S3_19|ASSB3_0|AS4_471|SB4_276|S4_1|ASSB4_0|AS5_169|SB5_387|S5_1|ASSB5_0|AS6_293|SB6_262|S6_4|ASSB6_0|AS7_215|SB7_166|S7_1|ASSB7_0|AS8_446|SB8_358|S8_4|ASSB8_0	AB1_32|AB2_17|AB3_12|AB4_9|AB5_5|AB6_4|AB7_4|AB8_5	-
ENSG00000237649.7	KIFC1	6:33404089-33406236	+	ES	780	True	True	protein_coding	all_splice_sites_known_(4_ss)	41,780,41	33404129,33404852,33405631,33406196	regular	0	False	bcc_8336|Cycle_0	41,41	33404129,33406196	psi1+2:0.95,psi3+4:0.94,psi5+6:NaN,psi7+8:NaN	AS1_391|SB1_228|S1_2038|ASSB1_0|AS2_259|SB2_124|S2_1955|ASSB2_0|AS3_233|SB3_106|S3_1171|ASSB3_0|AS4_151|SB4_57|S4_966|ASSB4_0|AS5_23|SB5_28|S5_164|ASSB5_0|AS6_16|SB6_5|S6_201|ASSB6_0|AS7_13|SB7_41|S7_233|ASSB7_0|AS8_26|SB8_18|S8_276|ASSB8_0	AB1_11|AB2_15|AB3_14|AB4_4|AB5_2|AB6_0|AB7_4|AB8_0	-
ENSG00000130779.19	CLIP1	12:122341658-122352766	-	ES	105	True	True	protein_coding	all_splice_sites_known_(4_ss)	40,105,41	122341697,122347375,122347479,122352726	regular	0	False	bcc_133943|Cycle_0	40,41	122341697,122352726	psi1+2:0.06,psi3+4:0.05,psi5+6:0.05,psi7+8:NaN	AS1_1|SB1_6|S1_3|ASSB1_0|AS2_3|SB2_5|S2_2|ASSB2_0|AS3_2|SB3_0|S3_7|ASSB3_0|AS4_4|SB4_1|S4_3|ASSB4_0|AS5_1|SB5_2|S5_2|ASSB5_0|AS6_4|SB6_1|S6_2|ASSB6_0|AS7_0|SB7_1|S7_2|ASSB7_0|AS8_1|SB8_0|S8_2|ASSB8_0	AB1_74|AB2_73|AB3_76|AB4_73|AB5_47|AB6_59|AB7_20|AB8_30	-
ENSG00000146021.14	KLHL3	5:137634126-137638992	-	ES	102	True	True	protein_coding	all_splice_sites_known_(4_ss)	40,102,40	137634165,137637294,137637395,137638953	regular	0	False	bcc_131161|Cycle_0	40,40	137634165,137638953	psi1+2:0.73,psi3+4:0.88,psi5+6:0.73,psi7+8:0.84	AS1_54|SB1_36|S1_13|ASSB1_0|AS2_20|SB2_13|S2_20|ASSB2_0|AS3_38|SB3_19|S3_13|ASSB3_0|AS4_21|SB4_8|S4_15|ASSB4_0|AS5_14|SB5_9|S5_2|ASSB5_0|AS6_8|SB6_14|S6_5|ASSB6_0|AS7_23|SB7_16|S7_6|ASSB7_0|AS8_5|SB8_18|S8_9|ASSB8_0	AB1_14|AB2_13|AB3_7|AB4_0|AB5_6|AB6_3|AB7_4|AB8_3	-
ENSG00000138600.9	SPPL2A	15:50731001-50736141	-	ES	82	False	True	protein_coding	all_splice_sites_known_(4_ss)	39,82,41	50731039,50732603,50732684,50736101	regular	0	False	bcc_7608|Cycle_0	39,41	50731039,50736101	psi1+2:NaN,psi3+4:0.97,psi5+6:0.97,psi7+8:NaN	AS1_87|SB1_98|S1_9|ASSB1_0|AS2_47|SB2_55|S2_4|ASSB2_0|AS3_58|SB3_77|S3_21|ASSB3_0|AS4_66|SB4_37|S4_6|ASSB4_0|AS5_92|SB5_124|S5_4|ASSB5_0|AS6_84|SB6_69|S6_15|ASSB6_0|AS7_29|SB7_60|S7_7|ASSB7_0|AS8_73|SB8_31|S8_4|ASSB8_0	AB1_0|AB2_1|AB3_2|AB4_3|AB5_6|AB6_1|AB7_2|AB8_1	-
ENSG00000130511.15	SSBP4	19:18430890-18431684	+	ES	66	True	True	protein_coding	all_splice_sites_known_(4_ss)	41,66,38	18430930,18431353,18431418,18431647	regular	0	False	bcc_44900|Cycle_1	41,38	18430930,18431647	psi1+2:0.23,psi3+4:0.21,psi5+6:0.2,psi7+8:0.24	AS1_47|SB1_7|S1_0|ASSB1_1|AS2_4|SB2_48|S2_0|ASSB2_0|AS3_24|SB3_3|S3_0|ASSB3_0|AS4_7|SB4_15|S4_0|ASSB4_0|AS5_23|SB5_3|S5_0|ASSB5_0|AS6_0|SB6_11|S6_0|ASSB6_0|AS7_41|SB7_7|S7_0|ASSB7_1|AS8_0|SB8_27|S8_0|ASSB8_0	AB1_107|AB2_92|AB3_57|AB4_51|AB5_72|AB6_13|AB7_130|AB8_9	-
ENSG00000184465.15	WDR27	6:169665517-169667176	-	ES	255	True	False	protein_coding	3_ss_annotated_(over_4_ss):169665556,169666417,169667136	40,255,41	169665556,169666417,169666671,169667136	regular	0	False	bcc_25431|Cycle_2	40,41	169665556,169667136	psi1+2:0.76,psi3+4:0.8,psi5+6:0.66,psi7+8:0.72	AS1_3|SB1_3|S1_359|ASSB1_0|AS2_5|SB2_4|S2_77|ASSB2_0|AS3_9|SB3_4|S3_369|ASSB3_0|AS4_5|SB4_5|S4_75|ASSB4_0|AS5_4|SB5_4|S5_265|ASSB5_0|AS6_13|SB6_6|S6_58|ASSB6_0|AS7_7|SB7_10|S7_433|ASSB7_0|AS8_11|SB8_5|S8_133|ASSB8_0	AB1_12|AB2_26|AB3_12|AB4_18|AB5_18|AB6_29|AB7_23|AB8_38	-
ENSG00000151500.14	THYN1	11:134248445-134249207	-	ES_altD	260	False	True	protein_coding	4_ss_annotated_(over_5_ss):134248484,134248809,134248959,134249167	40,151,150	134248484,134248809,134248959,134249058	regular	0	False	bcc_155252|Cycle_11	40,41	134248484,134249167	psi1+2:0.6,psi3+4:0.68,psi5+6:0.82,psi7+8:0.79	AS1_4|SB1_119|S1_352|ASSB1_0|AS2_6|SB2_68|S2_76|ASSB2_0|AS3_5|SB3_91|S3_289|ASSB3_0|AS4_8|SB4_32|S4_62|ASSB4_0|AS5_13|SB5_93|S5_259|ASSB5_0|AS6_12|SB6_50|S6_73|ASSB6_0|AS7_14|SB7_90|S7_239|ASSB7_0|AS8_6|SB8_38|S8_96|ASSB8_0	AB1_76|AB2_34|AB3_49|AB4_11|AB5_14|AB6_15|AB7_24|AB8_10	-
ENSG00000094841.13	UPRT	X:75293474-75296382	+	ES	58	False	True	protein_coding	all_splice_sites_known_(4_ss)	41,58,41	75293514,75294563,75294620,75296342	regular	0	False	bcc_151020|Cycle_2	41,41	75293514,75296342	psi1+2:0.15,psi3+4:0.16,psi5+6:0.11,psi7+8:0.15	AS1_5|SB1_8|S1_0|ASSB1_1|AS2_4|SB2_10|S2_0|ASSB2_0|AS3_1|SB3_7|S3_0|ASSB3_0|AS4_3|SB4_7|S4_0|ASSB4_0|AS5_6|SB5_4|S5_0|ASSB5_1|AS6_0|SB6_8|S6_0|ASSB6_0|AS7_7|SB7_5|S7_0|ASSB7_3|AS8_3|SB8_8|S8_0|ASSB8_2	AB1_67|AB2_23|AB3_35|AB4_24|AB5_55|AB6_29|AB7_53|AB8_7	-
ENSG00000137834.14	SMAD6	15:66704035-66711708	+	ES	240	True	False	protein_coding	2_ss_annotated_(over_4_ss):66704075,66711668	41,240,41	66704075,66708499,66708738,66711668	regular	0	False	bcc_140028|Cycle_1	41,41	66704075,66711668	psi1+2:0.46,psi3+4:0.54,psi5+6:0.34,psi7+8:0.17	AS1_20|SB1_0|S1_47|ASSB1_0|AS2_30|SB2_4|S2_49|ASSB2_0|AS3_11|SB3_0|S3_36|ASSB3_0|AS4_8|SB4_2|S4_41|ASSB4_0|AS5_3|SB5_1|S5_15|ASSB5_0|AS6_4|SB6_0|S6_12|ASSB6_0|AS7_4|SB7_0|S7_8|ASSB7_0|AS8_3|SB8_0|S8_16|ASSB8_0	AB1_14|AB2_35|AB3_1|AB4_22|AB5_7|AB6_12|AB7_12|AB8_29	-
ENSG00000138073.13	PREB	2:27132045-27132643	-	ES	174	True	True	protein_coding	all_splice_sites_known_(4_ss)	38,174,41	27132082,27132230,27132403,27132603	regular	0	False	bcc_32744|Cycle_0	38,41	27132082,27132603	psi1+2:0.95,psi3+4:0.96,psi5+6:0.95,psi7+8:0.97	AS1_148|SB1_336|S1_404|ASSB1_0|AS2_292|SB2_107|S2_324|ASSB2_0|AS3_103|SB3_257|S3_331|ASSB3_0|AS4_221|SB4_95|S4_236|ASSB4_0|AS5_83|SB5_65|S5_111|ASSB5_0|AS6_100|SB6_84|S6_107|ASSB6_0|AS7_129|SB7_119|S7_223|ASSB7_0|AS8_283|SB8_170|S8_276|ASSB8_0	AB1_17|AB2_12|AB3_13|AB4_3|AB5_5|AB6_4|AB7_9|AB8_5	-
ENSG00000145247.11	OCIAD2	4:48897819-48904524	-	ES	97	False	True	protein_coding	all_splice_sites_known_(4_ss)	39,97,41	48897857,48899829,48899925,48904484	regular	0	False	bcc_133056|Cycle_2	39,41	48897857,48904484	psi1+2:0.85,psi3+4:0.88,psi5+6:0.87,psi7+8:0.86	AS1_8047|SB1_580|S1_927|ASSB1_0|AS2_649|SB2_861|S2_290|ASSB2_0|AS3_2959|SB3_532|S3_1016|ASSB3_0|AS4_490|SB4_580|S4_260|ASSB4_0|AS5_389|SB5_399|S5_87|ASSB5_0|AS6_382|SB6_347|S6_183|ASSB6_0|AS7_297|SB7_394|S7_135|ASSB7_0|AS8_362|SB8_358|S8_179|ASSB8_0	AB1_903|AB2_72|AB3_326|AB4_66|AB5_65|AB6_69|AB7_50|AB8_82	-
